연령,가족 구성원 수,주택규모,월평균 가구소득,성별_1,성별_2,주택형태_1,주택형태_2,주택형태_3,주택형태_4,직업_1,직업_10,직업_2,직업_3,직업_4,직업_5,직업_6,직업_7,직업_8,직업_9,반려동물 사육경험_1,반려동물 사육경험_2,반려동물 사육경험_3,향후 반려동물 사육의향
52,2,25,150,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2
53,4,25,650,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.4
59,3,25,650,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.8
26,3,15,450,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.8
29,5,25,350,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
41,4,25,550,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
32,5,25,50,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.6000000000000001
44,3,35,250,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
32,1,15,550,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.6000000000000001
28,3,15,50,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0
58,4,35,450,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.2
45,4,35,750,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
45,3,15,50,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6000000000000001
48,3,45,550,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0
44,4,35,450,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.4
52,4,35,750,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.6000000000000001
34,4,25,450,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
44,4,35,450,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.8
59,4,60,650,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.8
42,1,5,150,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
50,4,35,350,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2
20,2,15,150,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0
21,4,45,750,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0
55,2,25,750,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.8
57,3,35,750,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.8
53,4,15,450,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.4
39,4,35,450,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.4
53,5,5,550,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.2
40,3,25,450,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.8
37,6,45,750,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
35,3,35,350,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.8
40,3,35,750,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.6000000000000001
43,4,35,750,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.4
34,4,35,750,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.8
38,4,25,750,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
42,4,15,350,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.2
65,2,45,550,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.6000000000000001
34,3,25,450,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
53,3,35,450,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
29,3,35,550,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
42,3,35,350,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
